cuenta_id,nombre,canal,ciudad,zona,alta,vendedor,descuento_pct,plazo_pago,cupo_credito,frec_visita_mes,escala
C-001,Criterión,Restaurantes,Bogotá,Cedritos,2026-06-01,Andrea Restrepo,18.1,30,56000000,2.6,0.12382617734851943
C-002,Leo,Restaurantes,Bogotá,Cedritos,2025-07-01,Julián Mora,26.8,30,21000000,1.9,0.08995206847618664
C-003,Villanos en Bermudas,Restaurantes,Bogotá,Usaquén,2026-02-01,Julián Mora,25.2,30,56000000,2.5,7.982689089062623
C-004,Harry Sasson,Restaurantes,Bogotá,Salitre,2026-05-01,Andrea Restrepo,17.1,30,32000000,1.6,2.680582640993288
C-005,El Chato,Restaurantes,Bogotá,Chapinero,2026-05-01,Andrea Restrepo,17.7,30,12000000,1.6,1.8344242242468378
C-006,Mesa Franca,Restaurantes,Bogotá,Zona T,2025-04-01,Julián Mora,28.7,30,28000000,2.6,0.19074000356095727
C-007,Salvo Patria,Restaurantes,Bogotá,Parque 93,2025-12-01,Paola Cárdenas,23.0,30,50000000,2.7,0.4769040535829627
C-008,Humo Negro,Restaurantes,Medellín,El Poblado,2026-06-01,Valentina Ríos,18.9,30,43000000,1.7,1.3974959091828918
C-009,Mini-Mal,Restaurantes,Bogotá,Parque 93,2025-04-01,Andrea Restrepo,19.8,30,15000000,2.1,0.608769586046133
C-010,Prudencia,Restaurantes,Bogotá,Salitre,2024-12-01,Paola Cárdenas,20.8,30,55000000,2.6,0.9536734803835076
C-011,Carmen,Restaurantes,Medellín,Provenza,2026-04-01,Santiago Ospina,26.5,30,10000000,2.5,1.3008290128188607
C-012,Oci.Mde,Restaurantes,Medellín,Provenza,2026-06-01,Valentina Ríos,17.2,30,37000000,2.6,0.7688411998794791
C-013,Elcielo,Restaurantes,Medellín,Provenza,2026-06-01,Valentina Ríos,18.4,30,28000000,2.7,0.32732624376291636
C-014,Alambique,Restaurantes,Medellín,Provenza,2026-03-01,Santiago Ospina,26.0,30,11000000,2.7,0.9498951114346674
