tipo,gravedad,que,cuando,regla,aviso,desenlace
Capital quieto,Media,Whisky Buchanan's Two Souls · 3.1 M sin rotar 90 días,2026-08-24,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Se ofreció al canal corporativo
Capital quieto,Media,Perrier-Jouët Belle Époque · 13.1 M sin rotar 90 días,2026-08-23,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Pendiente de decisión
Quiebre de stock,Alta,Aguardiente Mil Demonios 375 ml en cero · Medellín,2026-08-22,Unidades en cero con venta en los últimos 90 días,Compras + comercial de la ciudad,Se ofreció la referencia equivalente al cliente
Capital quieto,Media,Whisky The Glenlivet Caribbean Reserve 100 · 4.8 M sin rotar 90 días,2026-08-21,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Se ofreció al canal corporativo
Quiebre de stock,Alta,Aguardiente Mil Demonios 375 ml en cero · Bogotá,2026-08-21,Unidades en cero con venta en los últimos 90 días,Compras + comercial de la ciudad,Se trasladó desde la otra bodega
Importación atrasada,Alta,OC-2026-0013 · Diageo · 6 días tarde,2026-08-21,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Capital quieto,Media,Whisky Macallan 18 Sherry Oak · 3.2 M sin rotar 90 días,2026-08-18,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Se ofreció al canal corporativo
Capital quieto,Media,Whisky Macallan 18 Sherry Oak 1000 ml · 9.6 M sin rotar 90 días,2026-08-18,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Entró a promoción del mes
Importación atrasada,Alta,OC-2026-0026 · Pernod Ricard · 12 días tarde,2026-08-17,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Capital quieto,Media,Whisky Glenfiddich 18 años · 6.5 M sin rotar 90 días,2026-08-15,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Entró a promoción del mes
Capital quieto,Media,Ron Dictador XO · 2.7 M sin rotar 90 días,2026-08-15,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Se ofreció al canal corporativo
Capital quieto,Media,Casa Dragones Blanco · 4.4 M sin rotar 90 días,2026-08-09,"Más de 2,5 M inmovilizados sin una sola venta en 90 días",Compras + dirección,Entró a promoción del mes
Importación atrasada,Alta,OC-2026-0024 · Global Wine & Spirits · 10 días tarde,2026-08-07,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Importación atrasada,Alta,OC-2026-0005 · Diageo · 12 días tarde,2026-08-07,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Importación atrasada,Alta,OC-2026-0034 · Bacardí · 4 días tarde,2026-08-02,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Importación atrasada,Alta,OC-2026-0043 · Otros importadores · 9 días tarde,2026-07-21,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
Importación atrasada,Alta,OC-2026-0032 · Otros importadores · 11 días tarde,2026-07-09,ETA vencida sin recepción,Compras,Se avisó a los comerciales que la venden
